,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
staring,2,0,0,2,0,0
invited,2,1,6,3,0,0
seat,3,2,8,3,0,0
invite,1,0,1,2,1,0
polite,4,1,2,1,3,0
misunderstanding,6,2,7,5,3,4
continuously,9,8,13,29,45,20
stronger,1,1,0,0,1,0
minority,2,6,4,6,0,7
ct,3,5,1,8,7,13
mccue,3,0,0,0,0,0
negotiator,2,0,0,47,0,0
slow,3,1,5,19,2,2
financials,2,1,1,16,0,0
desperate,2,4,0,17,5,0
forthright,1,0,0,7,0,0
sight,2,1,4,5,1,2
performed,4,2,6,22,19,7
routed,3,2,0,7,7,4
unsecure,1,0,0,1,0,0
definitely,7,5,11,26,14,11
inserted,2,0,2,0,7,24
deducting,3,2,0,3,3,1
tape,1,0,10,9,3,0
thoroughly,3,2,6,10,3,17
thirteen,1,0,1,0,1,1
guardian,3,2,0,1,1,0
resides,1,2,0,5,4,0
authorizes,1,0,0,0,3,0
partial,4,9,7,86,14,9
exploitation,2,1,1,0,0,0
yyyy,2,0,1,1,0,0
energy,4,0,2,4,2,1
audio,1,1,3,3,2,2
reveals,1,0,2,3,0,0
finish,4,7,4,24,8,6
cheated,7,3,8,6,0,1
rang,3,0,2,4,2,1
chex,5,0,0,0,0,15
correspondent,1,0,0,1,1,0
sayin,1,0,0,0,0,0
inforaation,1,0,0,0,0,0
exhausted,4,7,2,21,3,4
stapled,2,1,0,0,0,0
stunned,2,1,1,4,1,1
raising,3,4,6,24,4,2
adhere,2,1,3,6,2,1
modest,1,0,0,2,0,0
salary,3,2,1,21,7,3
reducing,2,5,10,18,2,0
subjected,1,1,4,10,4,0
maximized,1,0,2,0,1,0
trigger,1,1,2,3,0,0
deceitful,2,0,6,11,4,3
succeed,1,2,0,1,0,0
grok,1,0,0,0,0,0
game,8,2,6,51,14,12
refrigerator,3,0,4,3,5,1
bedroom,1,1,2,11,2,3
stanley,4,0,0,0,0,0
accumulate,1,2,3,2,2,0
surprising,2,2,3,2,2,1
billed,9,9,55,21,56,20
mychecking,1,0,1,0,0,0
overcharge,2,1,4,4,1,2
representativewho,1,0,0,0,0,0
fundswere,1,0,0,0,0,0
garnishmentwith,1,0,0,0,0,0
expedite,4,2,6,14,4,12
quiet,1,1,1,10,2,1
infuriating,1,0,1,2,0,1
irrelevant,3,1,11,3,6,4
substantial,6,0,11,27,7,8
aything,1,0,0,0,0,0
po,4,2,0,1,4,0
plaguing,1,0,0,1,0,0
merit,8,0,5,4,0,3
desperately,4,1,4,16,0,1
hectic,1,0,0,0,1,0
settling,2,4,1,3,13,4
instituted,3,0,0,2,1,0
cap,4,4,21,9,1,0
otf,2,0,0,0,0,0
human,4,3,16,15,16,20
rationale,1,1,3,2,0,0
insane,3,0,3,10,1,2
grandfathered,2,0,0,1,1,1
barclaycard,1,0,47,0,0,0
recived,1,1,1,8,3,2
concernes,1,0,0,0,0,0
dergatory,1,0,0,0,0,0
tthrough,1,0,0,0,0,0
verifiable,3,0,6,5,6,41
ew,4,0,0,0,0,0
hurt,3,7,21,15,13,25
fcra,9,21,36,18,192,464
unverified,1,0,1,0,30,77
responsabilit,1,0,0,0,0,0
hurting,2,9,10,7,15,39
incured,1,0,0,0,0,0
needle,2,0,1,0,0,0
tieing,1,0,0,0,0,0
booking,2,0,20,0,0,0
exhausting,1,1,2,3,1,1
referrer,2,0,0,0,0,0
refered,1,0,0,1,0,0
slandering,2,0,0,0,1,0
accepts,4,0,3,2,1,6
love,3,2,9,7,1,3
crdedit,1,0,0,0,0,0
damaging,1,11,6,12,37,39
financling,1,0,0,0,0,0
retract,1,0,2,2,1,0
reluctantly,1,5,0,6,4,0
knowingly,4,7,6,19,14,9
googled,1,0,1,2,12,5
merrill,10,0,3,0,1,0
bi,3,6,1,41,5,1
weekly,5,15,6,68,11,2
stability,1,0,1,4,1,2
stmt,1,0,7,7,1,0
univerity,1,0,0,0,0,0
orther,1,0,0,0,0,0
campus,3,0,1,1,0,3
attended,4,0,3,7,8,4
ststements,1,0,0,0,0,0
rolling,1,1,0,8,0,3
devels,1,0,0,0,0,0
sue,9,6,11,23,103,36
arbitration,8,5,9,4,11,1
deliberate,1,0,8,9,1,2
defraud,3,3,4,7,9,1
cheque,21,0,6,0,5,0
seemingly,3,0,2,6,1,4
ridiculously,1,1,0,1,0,0
import,1,0,0,0,0,0
sorting,1,1,0,0,0,0
chief,4,0,0,8,6,0
anger,3,0,1,3,1,1
incredible,2,0,3,4,2,0
avoidable,1,0,2,3,0,0
paymentson,1,0,0,0,0,0
monthlystatement,1,0,0,0,0,0
selecting,1,0,0,0,0,1
paymentoption,1,0,0,0,0,0
thecredit,1,0,0,1,0,0
creditcard,1,0,3,0,0,2
thedue,1,0,0,0,0,0
xxxxdifferent,1,0,0,0,0,0
toowe,1,0,0,0,0,0
ifeel,1,0,0,0,0,0
minimumbalance,1,0,0,0,0,0
thiskind,1,0,0,0,0,0
paidmy,1,0,0,0,0,0
jpmorganchase,2,0,0,0,0,0
dl,1,0,1,0,0,4
uncovered,1,0,0,3,2,2
garnished,2,5,2,5,69,1
garnish,2,5,2,2,72,0
earnings,4,0,3,9,0,0
disposable,1,0,1,4,2,0
abrasive,1,3,0,2,2,0
abrasiveness,1,0,0,0,0,0
discomfort,1,0,1,0,0,0
yelled,4,4,1,5,21,1
foreclose,3,1,0,234,21,2
panicked,6,0,0,3,0,0
enclosing,2,0,1,6,3,2
hurdle,3,0,0,0,1,0
straightened,2,4,7,9,1,0
originated,5,7,1,42,20,7
chaos,1,0,0,3,1,0
unraveling,1,0,0,0,0,0
unblock,2,0,1,0,0,2
outsourced,2,0,1,3,0,1
fraudently,2,0,0,0,0,0
misplaced,3,4,4,8,0,3
flash,1,0,0,0,0,0
contains,2,3,2,9,7,8
cable,3,2,0,4,44,11
treasury,6,0,0,20,5,4
affair,6,9,6,17,7,15
medicaid,1,0,0,0,17,4
messed,5,5,6,23,3,2
kicked,3,4,5,5,3,5
screwed,2,0,1,10,1,3
mortage,1,2,0,31,0,0
shabbily,1,0,1,0,0,0
wrap,5,0,2,0,1,0
unwrapped,1,0,0,0,0,0
temp,3,2,1,2,0,0
discourages,2,0,2,0,0,0
violates,1,4,8,13,27,15
sticker,1,7,2,1,1,1
tag,1,3,9,7,14,0
tiered,1,0,0,0,0,0
platinum,2,0,74,2,0,0
preferred,2,5,13,7,9,1
nuisance,2,0,0,1,4,0
il,5,4,4,11,15,15
depend,1,3,1,2,1,2
prescribe,1,0,0,1,1,0
deduct,10,3,4,13,1,0
worried,4,1,9,19,17,4
dastardly,1,0,0,0,0,0
subscribe,2,0,2,0,0,1
quickness,1,0,0,0,0,0
cheap,1,0,1,2,0,1
ripped,8,2,4,5,5,1
transcription,2,0,1,0,0,0
fbi,12,0,4,9,8,0
officd,1,0,0,0,0,0
pd,6,0,3,1,4,4
forensic,1,0,0,14,0,1
civilian,2,0,0,0,2,0
servant,1,0,1,1,0,0
stimulus,1,0,0,0,0,0
midestment,1,0,0,0,0,0
registrred,1,0,0,0,0,0
hijacked,1,0,0,0,0,0
envelope,28,3,11,51,13,1
white,2,1,3,9,4,4
pushing,2,2,2,22,2,2
virus,2,0,0,0,1,0
reffering,1,0,0,0,0,0
usb,1,0,0,0,0,0
defendant,1,0,0,16,33,7
couldve,1,0,0,0,0,0
whatnot,1,0,0,0,0,0
unfold,3,0,0,0,0,0
sham,1,1,1,2,1,2
hoax,1,0,0,0,0,1
itd,1,0,0,0,0,0
goodnight,1,0,0,0,0,0
hearing,5,5,13,67,38,15
preliminary,1,1,0,5,3,0
completion,11,6,8,34,3,8
reoccurring,7,0,4,1,0,1
generating,3,0,2,1,0,1
largest,8,2,2,3,2,1
descending,3,0,0,0,0,0
greatest,1,1,4,0,0,0
robbing,1,2,2,5,0,0
target,5,1,80,8,4,3
gouge,1,2,1,1,1,1
fyi,1,3,2,3,1,1
evict,2,1,0,9,1,2
malevolent,1,0,0,1,0,0
greedy,4,1,3,9,0,0
lodge,1,1,2,4,1,2
inconclusive,1,0,0,0,0,0
lodging,1,1,2,2,1,0
usage,2,1,9,1,4,10
turning,1,7,6,11,7,3
killed,1,2,1,2,0,1
crash,2,1,3,9,2,1
overseen,1,0,1,0,0,0
weapon,1,0,0,0,0,1
scared,2,4,2,10,18,1
watched,5,0,2,4,4,1
remembered,2,0,2,1,0,1
apparantly,1,0,0,0,0,0
enrich,1,0,1,1,0,0
proprietorship,2,0,1,0,0,0
formed,3,0,0,2,0,1
dissolution,1,0,0,1,1,0
conclude,4,0,4,7,3,5
gong,1,0,0,1,0,0
luckily,4,2,1,8,1,2
pipe,1,1,1,12,1,2
unoccupied,1,0,0,1,1,0
burst,1,0,2,3,3,0
progressed,1,0,0,0,0,0
hired,6,2,11,81,48,8
dismissed,2,6,4,38,22,78
heating,1,0,1,3,0,1
foreclosure,2,2,1,1429,112,42
rehabilitation,1,0,1,3,12,2
assigns,1,0,0,8,2,0
contactor,1,0,0,0,0,0
declaration,1,1,4,20,6,2
repaircontractors,1,0,0,0,0,0
waiverinternal,1,0,0,0,0,0
xxxxcopy,1,0,0,0,0,0
undeliverablenotarized,1,0,0,0,0,0
harmless,1,0,0,1,1,0
sellercopy,1,0,0,0,0,0
length,6,6,9,24,10,10
vp,8,1,0,11,1,0
arizona,2,9,0,10,15,9
realizing,3,2,6,8,1,2
intends,1,1,1,4,5,0
accunt,1,1,0,0,0,0
unknowingly,3,1,5,2,3,1
banned,1,0,1,3,1,2
appointted,1,0,0,0,0,0
secu,5,0,7,0,0,0
cremation,1,0,0,0,0,0
mrsxxxx,1,0,0,0,0,0
mentally,1,1,1,2,0,0
paralyzed,1,0,0,0,0,1
neck,1,0,0,1,0,0
depositer,1,0,0,0,0,0
frequent,3,1,7,1,12,0
warren,1,0,0,0,0,0
gratiot,1,0,0,0,0,0
livid,3,1,3,2,3,1
suffer,8,4,5,13,8,13
preparation,1,0,2,2,0,1
starve,1,0,0,3,0,0
nutshell,2,0,0,1,1,0
engineering,1,0,0,2,0,1
pennymac,12,0,0,75,14,0
hazard,6,1,0,71,0,2
reinstate,2,3,12,31,4,5
provision,2,7,9,36,19,21
perspective,1,1,1,1,0,1
wherein,3,1,4,6,7,2
farmer,1,0,0,0,0,2
custom,5,2,6,4,0,1
video,21,1,2,1,2,0
carrier,1,0,4,9,18,1
garnishable,1,0,0,0,0,0
led,7,6,12,35,12,6
garnishement,1,0,0,0,0,0
xxxxmy,3,1,0,3,0,2
administrator,4,4,3,8,2,1
befor,1,0,0,0,0,1
esignature,1,0,0,0,0,0
hve,1,0,1,0,3,1
physician,1,0,2,8,35,10
blew,2,2,3,3,3,0
coroner,1,0,0,0,0,0
suspicion,3,2,4,6,5,1
band,1,0,1,1,1,0
shift,1,3,2,2,1,1
sstill,1,0,0,0,0,0
prosecute,4,0,0,2,4,2
swiped,4,0,1,0,0,0
questionnaire,9,0,0,8,1,0
xxxxwe,1,0,0,4,1,0
shortcoming,2,0,1,0,0,0
disappointment,2,1,3,5,0,0
neglect,3,0,2,5,0,1
disgrace,1,0,0,6,3,0
bizarre,1,0,3,2,0,1
realtor,3,2,3,153,2,2
bid,3,1,0,26,1,0
mort,1,0,0,9,0,0
xxxxthe,2,0,0,2,1,1
socialsecurity,1,0,1,0,0,0
widow,1,0,6,8,2,2
pymt,3,1,5,11,2,0
didnt,8,12,11,23,34,17
attroney,1,0,0,0,0,0
goverment,1,0,0,6,0,1
follower,1,0,0,0,0,0
facility,7,0,1,3,23,7
feared,1,0,1,1,0,1
detained,1,0,0,0,3,0
viva,2,0,0,0,0,0
clue,4,4,8,17,16,6
civil,5,6,11,41,50,40
baring,1,0,0,0,2,3
summit,1,8,0,1,6,1
attach,4,4,3,24,25,32
ant,1,1,0,1,1,0
grateful,6,1,2,6,5,3
heart,1,0,2,12,2,1
younger,3,0,3,1,2,0
brother,21,13,18,21,34,6
aways,1,0,0,0,0,0
content,10,1,9,9,17,15
gathering,2,0,1,3,1,3
bond,10,3,2,6,10,8
irrevocable,6,0,0,4,1,0
laid,4,5,3,25,12,4
nodded,2,0,0,0,0,0
engage,2,1,2,7,7,4
flying,1,0,2,0,0,0
apologised,1,0,0,0,0,0
layer,1,0,0,3,2,2
resend,5,1,3,26,0,4
checkup,1,0,0,0,0,0
creditied,1,0,0,0,0,0
identiy,1,0,0,0,1,1
complied,7,0,7,43,15,7
solicited,1,3,3,13,1,1
attending,2,0,2,0,4,1
appt,3,0,0,2,1,0
bargain,3,0,2,1,0,2
compensated,4,5,5,9,4,1
technical,16,0,14,6,2,11
glaring,1,0,0,2,0,1
nut,1,0,1,4,2,0
cube,1,0,0,0,0,0
tend,1,2,1,1,1,0
reiterated,2,1,5,4,5,2
dismay,1,0,3,5,0,3
retaliated,2,1,0,1,2,4
bogus,5,3,14,30,30,17
nothe,1,0,0,0,0,0
luxury,1,3,0,1,0,1
chencking,1,0,0,0,0,0
duringg,1,0,0,0,0,0
murder,1,1,0,0,0,1
hawk,1,0,0,0,0,1
repay,4,5,13,18,13,0
effected,4,2,5,6,7,10
seventh,1,0,0,2,1,0
curtain,1,0,0,0,0,0
boken,1,0,0,0,0,0
mailer,9,0,3,6,0,0
disagree,2,1,3,4,4,9
sadly,4,1,2,4,2,3
discarded,2,0,1,0,1,0
spring,1,2,4,7,3,1
beautifully,1,0,0,0,0,0
algorithm,1,0,0,0,1,2
dependent,1,1,2,0,8,3
necessarily,2,0,1,1,0,1
neglected,3,3,6,14,5,13
defies,2,0,0,0,0,0
doctor,2,5,8,8,76,6
encourages,4,0,2,2,0,0
adamant,3,2,2,2,4,2
discourage,2,0,1,8,0,3
undeniably,1,0,0,0,0,0
complicit,2,1,0,2,1,1
premised,1,0,0,0,0,0
unrecoverable,1,0,0,0,0,0
variety,1,5,2,4,6,1
obstinate,1,0,0,0,0,0
plenty,4,2,3,18,4,1
unreal,1,0,0,1,0,1
sore,1,0,1,0,1,0
dramatic,1,0,1,3,0,1
broker,3,5,0,99,10,6
rippled,1,0,0,0,0,0
overnighted,2,1,3,10,0,0
conflicting,2,2,4,29,1,1
journey,2,0,1,5,0,0
accts,1,0,4,0,5,7
rise,3,5,0,6,4,1
checkout,2,0,19,0,0,0
consumed,1,1,0,2,1,0
outdated,2,0,2,7,5,27
antiquated,3,0,0,0,0,1
technology,4,3,5,1,10,0
play,6,4,4,29,15,9
ensuring,1,1,1,2,1,2
simultaneously,3,0,1,10,2,3
ineptness,1,0,0,1,0,0
exacerbated,2,0,1,4,0,0
adjusting,1,0,2,8,1,0
financies,1,0,0,0,0,0
arrive,6,4,27,17,3,1
depost,1,0,0,0,0,0
pulling,2,1,7,8,9,20
technically,2,3,5,11,4,1
equivalent,2,0,9,9,4,1
leading,5,1,9,12,6,4
addressed,9,11,23,47,16,10
viable,2,2,1,8,4,6
resembles,2,0,0,0,0,0
presentative,1,0,0,0,0,0
instructing,2,0,3,6,3,1
tossed,1,1,0,5,0,0
retrieving,2,0,0,1,0,2
consulted,3,2,4,14,2,3
ceased,2,1,2,2,19,3
devastation,1,0,0,1,0,1
inflict,1,0,0,0,0,0
uphold,4,2,3,3,0,0
stranger,1,0,1,3,7,1
desire,2,1,5,24,3,4
inflicts,1,0,0,0,0,0
split,6,1,6,21,3,7
individually,1,0,0,4,1,4
amongst,2,0,1,2,1,0
payouts,2,0,0,0,0,0
consultant,3,0,2,24,68,5
distributed,4,2,0,2,2,0
administrative,1,1,0,9,11,2
collected,7,8,10,40,69,13
shortage,3,0,1,136,1,0
shoddy,1,0,1,3,0,0
efficient,3,1,2,8,1,2
financing,4,70,28,74,10,32
fluctuate,1,0,0,0,0,0
backdated,1,0,0,8,1,0
principle,3,31,11,156,10,1
drastically,1,1,3,9,3,4
duration,3,6,4,10,1,1
unresponsiveness,1,0,0,0,0,0
homelessness,1,0,0,4,0,0
hunger,1,0,0,0,0,0
outright,1,1,4,5,3,2
annoyed,4,0,2,3,3,0
tone,1,4,2,8,16,0
dissatisfied,4,2,6,5,2,1
transfered,6,1,3,12,7,1
inspite,2,0,0,1,0,1
excerpt,1,0,1,5,1,2
struggling,2,5,3,29,7,2
logo,4,0,5,3,3,0
ph,1,0,1,5,9,2
nice,3,5,11,15,21,13
bus,7,0,0,1,3,0
roommate,2,1,1,1,14,7
upcoming,4,3,11,9,2,0
rationalize,1,0,1,0,0,0
unsatisfactory,2,0,2,1,1,2
pleasant,2,0,2,2,0,1
agrees,2,0,3,0,3,3
sing,1,0,0,1,1,1
praise,1,0,0,0,0,1
hill,1,1,0,4,0,0
havent,2,0,0,4,9,6
awhile,2,1,1,1,6,0
timid,1,0,0,0,0,0
wasnt,5,0,4,11,8,8
occures,1,0,0,0,0,0
ut,1,2,2,0,6,3
existent,1,1,3,7,5,3
fishing,2,0,1,0,2,1
expedition,2,0,0,0,2,0
instantly,4,2,9,1,0,2
array,1,0,0,1,0,0
storage,1,9,2,12,4,4
swapping,1,0,0,1,0,0
passcode,3,0,1,0,0,0
phn,1,0,0,0,0,0
convenient,5,0,6,1,1,2
certifies,1,0,0,0,0,1
subscription,4,0,20,0,5,13
lasting,1,0,1,0,3,0
accomplished,2,0,3,3,2,3
rectifying,1,0,0,3,0,0
circle,2,1,12,14,5,6
jerk,2,0,0,1,1,1
fica,1,0,1,1,0,0
unauthorize,1,0,0,0,0,1
eppicard,3,0,0,0,0,0
la,2,3,0,1,6,4
oklahoma,2,4,1,7,5,1
concealing,1,1,0,3,0,0
cusip,1,0,0,0,0,0
msrb,1,0,0,0,0,0
emma,1,0,0,0,0,0
viability,1,0,0,0,0,0
occupancy,1,0,1,17,0,2
concealed,2,2,0,0,2,1
investor,9,1,1,230,13,4
impeccable,1,2,3,5,0,1
forfeited,3,0,10,1,0,1
mod,1,1,0,106,0,1
hemp,1,0,0,0,0,0
rope,1,2,0,1,0,0
sad,3,0,4,11,2,4
epitaph,1,0,0,0,0,0
stoled,2,0,0,0,1,0
ghost,1,0,1,2,0,0
hiding,2,1,2,9,3,2
significantly,3,6,10,27,8,14
disadvantage,1,0,1,1,1,0
protocol,7,0,4,7,4,8
expose,2,0,0,3,1,0
ramification,1,0,1,1,0,1
unwillingly,2,0,0,0,0,0
exploited,2,1,0,0,1,0
uncompromising,1,0,0,0,0,0
l,3,4,11,43,39,11
synovus,2,0,0,0,0,0
presist,1,0,0,0,0,0
row,2,2,9,14,5,4
unformed,1,0,0,0,0,0
usbank,10,5,7,12,0,0
underwriter,2,7,4,157,3,0
goofed,2,0,0,0,0,0
availbale,1,0,0,0,0,0
flyer,3,0,6,2,2,0
thesis,1,0,0,3,3,0
construction,4,4,1,35,4,1
relax,1,0,0,2,0,0
relaxed,1,0,0,0,0,0
frauded,2,0,0,0,0,0
interesting,2,1,3,7,2,1
intercede,1,1,0,4,0,0
gram,5,2,1,0,1,0
mediator,1,0,0,12,3,0
ssxxxx,1,0,0,0,0,0
played,3,1,2,10,6,3
secret,1,0,3,3,0,4
evaluation,1,3,4,53,1,0
spun,1,0,0,1,1,0
bny,2,0,0,3,0,0
mellon,5,0,0,9,6,0
fingerprinting,1,0,0,0,0,0
biometric,1,0,0,0,0,0
fingerprint,1,0,0,0,0,0
biometrics,1,0,0,0,0,0
forbidding,1,0,0,0,0,0
accomplish,3,0,2,2,1,2
task,6,0,4,20,0,4
mundane,1,0,0,0,0,0
cold,2,1,3,4,5,1
apliances,2,0,0,0,0,0
writting,1,1,0,0,4,1
amends,1,0,0,2,0,0
payme,1,0,0,0,1,0
typical,2,1,6,6,2,1
restating,1,0,0,1,1,0
issuethe,1,0,0,0,0,0
atn,1,0,0,0,0,0
effective,7,4,6,85,14,6
crammer,1,0,0,0,0,0
discount,10,1,23,19,17,4
cross,3,1,2,14,5,0
crd,1,0,4,0,0,0
stationed,1,0,0,3,3,0
stumbled,1,0,0,1,0,0
mend,1,0,1,0,0,0
archive,2,0,0,2,3,1
circulates,1,0,0,0,0,0
boounced,1,0,0,0,0,0
handing,1,0,0,3,1,0
beliigerent,1,0,0,0,0,0
escort,1,0,0,0,0,0
marriage,1,0,1,9,5,2
safeguard,2,0,1,3,0,2
surplus,2,6,1,24,4,0
sended,3,0,0,0,1,0
condesending,1,0,0,0,0,0
tear,5,8,1,5,8,2
demeaned,1,0,0,0,0,0
condescending,2,2,7,7,17,1
skimmed,2,0,1,0,0,0
macy,5,0,190,0,31,0
ro,3,0,0,0,1,0
misdirected,1,0,0,1,0,0
requestedfor,1,0,0,0,0,0
anddeposited,1,0,0,0,0,0
wasnot,1,0,0,1,0,0
subsequent,6,5,9,32,15,5
overdraftcharges,2,0,0,0,0,0
giveme,1,0,0,1,0,0
refusedto,1,0,0,0,0,0
forfive,1,0,0,0,0,0
detective,3,1,1,0,3,0
susquehanna,2,4,0,0,0,0
fixing,2,4,2,12,3,11
deli,1,0,0,0,0,0
abrubtly,1,0,0,0,0,0
unsatisfied,3,1,2,2,2,3
tread,2,1,0,0,0,0
mill,2,0,0,6,6,0
mat,2,0,0,0,0,0
attaching,7,1,13,36,28,26
bellow,1,0,0,0,0,0
freight,2,0,0,0,0,0
role,2,1,1,7,9,1
vulnerable,3,4,8,4,3,3
speech,1,0,1,1,0,0
intrusive,1,0,0,0,3,0
speedy,1,1,0,0,6,2
pamphlet,2,0,0,1,0,0
accuracy,1,3,5,3,16,95
accord,2,0,0,3,5,1
supportive,2,0,1,0,2,0
disbursed,3,1,1,11,2,0
advancement,1,1,0,1,2,0
resource,8,2,2,22,61,6
instigated,1,0,0,0,0,0
telecheck,3,0,0,0,0,10
unplugged,2,0,0,0,0,0
lease,10,190,12,56,137,59
utilized,3,1,4,7,2,5
sevices,1,0,0,0,0,0
affective,1,0,0,0,0,0
thirty,2,6,4,24,9,15
applicable,7,4,6,15,16,7
transpired,1,0,7,2,2,3
signup,2,0,7,0,0,1
tent,3,0,0,0,0,0
wisconsin,2,4,0,1,4,1
weight,2,1,0,4,2,3
allotted,4,2,0,7,10,6
essentails,1,0,0,0,0,0
intervened,1,0,0,6,0,1
unchanged,2,1,3,4,1,5
confident,2,1,7,17,3,5
fla,1,0,0,1,0,0
comprise,1,0,0,0,0,0
centralized,1,0,0,0,0,0
appealing,1,2,2,9,2,0
fcba,3,0,10,0,0,2
efta,3,0,0,0,0,0
depends,3,1,0,1,0,0
definate,1,0,0,0,0,0
here,2,0,0,0,0,1
frivolous,1,0,5,2,12,18
relevence,1,0,0,0,0,0
punative,1,0,0,0,0,0
explicitly,2,1,10,4,7,3
measurable,1,0,0,1,0,0
guide,3,5,3,9,2,4
hack,5,3,1,0,1,5
culture,1,0,0,2,0,3
rubbed,1,0,0,0,0,0
internship,1,0,0,1,0,0
differentiation,1,0,0,0,0,0
seriousness,3,1,0,2,0,0
treating,4,4,6,7,4,3
withdrawed,3,0,0,0,0,0
black,3,0,2,8,5,6
balled,1,1,0,0,0,0
injury,7,4,16,35,16,7
multitude,1,0,3,3,0,0
loved,1,0,0,3,0,0
complexity,1,0,1,1,0,0
sub,2,2,0,11,6,1
messege,2,0,0,0,0,0
reciept,2,0,2,1,2,1
assitant,1,0,0,0,0,0
erroring,1,0,0,0,0,0
hiring,1,1,1,4,3,4
reprsentation,1,0,0,0,0,0
alright,2,0,3,1,0,0
periodically,1,2,4,3,1,1
swear,1,0,2,0,1,3
asleep,1,0,0,0,1,0
longest,1,1,2,0,0,1
custodial,1,0,0,7,0,0
turing,1,0,0,0,0,0
forfeit,3,0,3,5,3,0
sitting,9,4,11,22,7,5
disposition,3,4,1,3,4,6
furnisher,1,4,15,0,8,61
capable,2,0,6,5,2,0
fro,1,1,1,10,8,3
privy,1,1,0,4,0,1
scene,3,0,1,0,3,0
conferenced,2,0,1,1,0,2
overheard,1,0,0,0,1,0
cool,1,1,1,0,0,1
cited,7,1,9,1,4,2
blind,1,1,1,6,1,1
cleaned,1,1,0,3,7,3
fashioned,1,0,0,0,0,0
hindering,1,1,0,5,5,8
flood,2,5,0,154,4,0
adjuster,1,2,0,9,17,0
mac,4,0,3,33,1,3
hardware,1,0,0,0,1,0
intending,1,2,1,1,0,1
replacing,3,0,2,4,2,1
bundle,1,0,1,1,9,1
lifetime,2,3,3,5,4,3
recoup,2,0,1,6,0,0
ensured,2,0,3,4,2,1
unskillful,1,0,0,0,0,0
wiring,2,0,1,8,1,0
test,3,8,9,14,7,12
cit,13,0,2,10,1,0
falsely,3,8,10,22,49,24
truthfully,1,0,0,0,1,2
thankful,2,0,1,4,1,1
equipped,1,0,3,3,0,0
regrding,1,0,0,1,0,0
dinged,1,0,3,2,1,4
modification,4,9,7,2280,23,28
legit,3,2,2,2,8,3
insist,4,1,14,14,14,11
hose,1,3,0,2,0,0
impersonating,1,0,0,1,2,0
elderly,4,2,3,15,10,1
survivor,1,0,0,1,0,2
stamped,10,2,4,15,7,4
discussing,1,5,7,10,6,3
discriminate,2,0,4,3,0,2
embarrass,1,1,0,1,4,0
mispelled,2,0,0,0,1,0
crossed,1,0,0,6,3,0
revised,1,2,10,18,2,3
multi,2,1,2,4,1,0
notation,4,0,7,7,14,12
pass,2,3,2,5,4,3
deducts,1,0,0,1,0,1
identifer,2,0,0,0,0,0
guaranteed,7,3,3,46,6,1
rightful,2,0,2,3,3,2
cust,1,0,3,4,0,0
vitally,1,0,0,0,0,0
surface,1,0,3,2,3,1
typed,2,1,1,2,5,4
falsification,1,0,1,1,0,0
mix,1,3,2,2,6,4
unknowledgeable,1,0,0,0,0,0
wouldnt,1,3,2,3,2,2
practically,2,1,1,1,3,1
tutition,1,0,0,0,0,0
bbt,7,0,0,14,0,0
conference,4,2,6,35,4,5
charages,1,0,0,0,0,0
negligible,1,0,1,1,0,0
ethical,2,3,3,7,6,3
prey,2,3,5,6,3,1
drilled,2,0,0,0,0,0
inventory,7,2,2,1,1,1
valuable,3,0,3,11,3,2
inherited,3,0,2,6,1,0
mysterious,1,0,1,4,0,1
characteristic,1,0,0,1,0,0
ar,2,0,2,3,51,1
smooth,2,0,0,0,0,1
electing,1,0,1,0,0,1
disappears,1,0,0,0,0,0
reappears,1,0,1,0,0,0
unsympathetic,2,0,0,0,0,0
instructs,1,1,0,1,1,1
tangle,1,0,0,0,0,0
mailbox,5,1,2,5,5,0
skipped,1,2,1,3,0,0
cousin,2,0,0,4,6,0
venture,1,0,8,1,0,1
anyhow,1,1,0,0,0,1
plague,1,1,0,0,0,0
reopening,2,0,1,2,1,0
necessity,2,1,1,4,3,3
residing,1,0,2,6,2,4
resorting,3,0,0,2,1,0
maine,2,0,1,3,4,2
hacking,3,0,1,0,5,1
threatening,7,20,9,61,196,8
cruelty,1,0,0,0,0,0
consumeraffairs,2,0,0,0,0,0
freezing,3,0,1,4,2,1
legitimated,1,0,0,0,0,0
xxxxwhen,2,0,1,0,0,0
whyi,1,0,0,0,0,0
wifewe,1,0,0,0,0,0
statementsthey,1,0,0,0,0,0
issuei,1,1,0,0,0,1
citizenmy,1,0,0,0,0,0
grant,1,7,9,20,23,9
poss,1,0,0,0,0,0
overworked,1,0,0,0,0,0
understaffed,1,0,1,2,0,0
mentioning,2,1,2,7,5,0
curious,1,2,2,2,0,1
traced,2,0,1,1,8,0
trail,3,0,3,15,4,1
legitimately,2,0,3,1,3,4
ur,1,2,0,1,0,1
powerful,1,0,2,0,1,0
norm,1,1,0,5,0,0
anomaly,1,0,0,0,0,1
manipulated,5,0,0,7,0,3
overturned,1,0,0,1,0,1
vm,2,0,0,0,6,0
sits,1,1,0,7,4,0
umqua,1,0,0,0,0,0
accidentlly,1,0,0,0,0,0
resubmitting,1,0,1,7,0,1
grievance,1,0,2,4,3,2
xxxxhttp,1,0,0,0,0,0
xxxxfrom,1,0,0,1,0,0
eventualky,1,0,0,0,0,0
adversely,2,3,10,10,2,11
