token,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
immense,0,0,0,1,0,0
teat,0,0,0,1,0,0
anothey,0,0,0,1,0,0
crawlspace,0,0,0,2,0,0
mit,0,0,0,1,0,0
permanenet,0,0,0,1,0,0
insteady,0,0,0,1,0,0
realestate,0,0,0,1,0,0
miscommunicate,0,0,0,1,0,0
volunteering,0,0,0,1,0,0
basket,0,0,0,1,0,0
juice,0,0,0,1,0,0
potato,0,0,0,1,0,0
rediculus,0,0,0,1,0,0
dock,0,0,0,1,0,1
untenable,0,0,0,1,0,0
tod,0,0,0,1,0,0
restatement,0,0,0,1,0,0
buildout,0,0,0,1,0,0
modificationwhich,0,0,0,1,0,0
understating,0,0,0,1,0,0
charleston,0,0,0,1,0,0
contonue,0,0,0,1,0,0
commas,0,0,0,1,0,0
meowner,0,0,0,1,0,0
uninterrupted,0,0,0,1,0,0
febuary,0,0,0,2,0,0
migrate,0,0,0,1,0,0
rescap,0,0,0,1,0,0
farud,0,0,0,1,0,0
unse,0,0,0,1,0,0
hometown,0,0,0,1,0,0
interminable,0,0,0,1,0,0
rbs,0,0,0,1,0,0
complaintxxxx,0,0,0,1,0,0
xxxxenclosed,0,0,0,1,0,0
xxxxxxxxthere,0,0,0,1,0,0
xxxxxxxxcombine,0,0,0,1,0,0
xxxxxxxxa,0,0,0,1,0,0
cordially,0,0,0,1,0,0
stabilty,0,0,0,1,0,0
evolve,0,0,0,1,0,0
subterfuge,0,0,0,1,0,1
hudxxxx,0,0,0,1,0,0
rebuff,0,0,0,1,0,0
wth,0,0,0,1,0,0
immeasurably,0,0,0,1,0,0
misinterpretation,0,0,0,1,0,0
bough,0,0,0,1,0,0
trucker,0,0,0,1,0,0
importatant,0,0,0,1,0,0
rewright,0,0,0,1,0,0
marketed,0,0,0,1,0,0
superivsor,0,0,0,1,0,0
shared,0,0,0,1,0,0
partime,0,0,0,1,0,0
groom,0,0,0,1,0,0
redeemable,0,0,0,1,0,0
adu,0,0,0,1,0,0
courteously,0,0,0,1,0,0
disappointingly,0,0,0,1,0,0
fervently,0,0,0,1,0,0
humanly,0,0,0,1,0,1
ironical,0,0,0,1,0,0
ammendment,0,0,0,1,0,0
alol,0,0,0,1,0,0
aprehensive,0,0,0,1,0,0
renage,0,0,0,1,0,0
mouthy,0,0,0,1,0,0
extinguishment,0,0,0,1,0,0
tendency,0,0,0,1,0,0
explode,0,0,0,1,0,1
mollify,0,0,0,1,0,0
facade,0,0,0,1,0,0
recentally,0,0,0,1,0,0
minn,0,0,0,1,0,0
subd,0,0,0,1,0,0
callle,0,0,0,1,0,0
outstandng,0,0,0,1,0,0
acounte,0,0,0,1,0,0
underlying,0,0,0,1,0,0
xxxxshowing,0,0,0,1,0,0
therewa,0,0,0,1,0,0
notrefinance,0,0,0,1,0,0
homein,0,0,0,1,0,0
redidterm,0,0,0,1,0,0
impractical,0,0,0,2,0,0
recieveable,0,0,0,1,0,0
fey,0,0,0,2,0,0
enclosed,0,0,0,1,1,0
relist,0,0,0,1,0,0
amorterzation,0,0,0,1,0,0
unmove,0,0,0,1,0,0
legiable,0,0,0,1,0,0
umerous,0,0,0,1,0,0
seexxxx,0,0,0,1,0,0
roofing,0,0,0,2,0,0
reposit,0,0,0,1,0,0
muddy,0,0,0,1,1,0
abusiveness,0,0,0,1,0,0
verily,0,0,0,1,0,0
originatorwa,0,0,0,1,0,0
lenderxxxx,0,0,0,1,0,0
aboutxxxx,0,0,0,1,0,0
banksregarde,0,0,0,1,0,0
violatingstatutory,0,0,0,1,0,0
statutes,0,0,0,1,0,0
req,0,0,0,1,2,0
regualtion,0,0,0,1,0,0
proceduredure,0,0,0,1,0,0
forescalate,0,0,0,1,0,0
toescalation,0,0,0,1,0,0
bankingcommission,0,0,0,1,0,0
qwrwa,0,0,0,1,0,0
xxxxacknowledged,0,0,0,1,0,0
initiatedforeclosure,0,0,0,1,0,0
xxxxfirst,0,0,0,1,0,0
meritlenders,0,0,0,1,0,0
xxxxlender,0,0,0,1,0,0
montering,0,0,0,1,0,0
protectmyid,0,0,0,1,0,6
suppervisor,0,0,0,1,0,0
ctach,0,0,0,1,0,0
neverresponde,0,0,0,1,0,0
engineering,0,0,0,2,0,1
forestall,0,0,0,1,0,0
onerous,0,0,0,1,0,1
slab,0,0,0,1,0,0
jcmorgan,0,0,0,2,0,0
unbenowst,0,0,0,1,0,0
rysar,0,0,0,1,0,0
increa,0,0,0,1,0,0
lid,0,0,0,1,0,0
needen,0,0,0,1,0,0
tee,0,0,0,2,0,0
sysytem,0,0,0,2,0,0
fright,0,0,0,1,0,0
dispatch,0,0,0,1,4,0
amort,0,0,0,1,0,0
inoder,0,0,0,1,0,0
discrimmination,0,0,0,1,0,0
isaoa,0,0,0,1,0,0
somekind,0,0,0,1,0,0
rx,0,0,0,1,0,0
depreciation,0,0,0,1,0,0
graceful,0,0,0,1,1,0
knowledgably,0,0,0,1,0,0
disoute,0,0,0,1,0,0
strew,0,0,0,1,0,0
humiliating,0,0,0,1,0,0
ets,0,0,0,1,0,0
upkeep,0,0,0,1,0,1
owener,0,0,0,1,0,0
crumble,0,0,0,1,0,0
unnerving,0,0,0,1,0,0
wjhat,0,0,0,1,0,0
flooede,0,0,0,1,0,0
recepit,0,0,0,1,0,0
sory,0,0,0,1,0,0
forceable,0,0,0,1,0,0
nonresponse,0,0,0,1,0,0
vexatious,0,0,0,1,0,0
reviewer,0,0,0,1,0,1
inexplicable,0,0,0,1,0,0
unsupportable,0,0,0,1,0,0
smi,0,0,0,25,0,0
arithmetic,0,0,0,1,0,0
chaotic,0,0,0,1,0,0
insur,0,0,0,1,0,0
frb,0,0,0,1,0,0
thrift,0,0,0,1,1,0
ffiec,0,0,0,1,0,0
nonbank,0,0,0,1,0,0
licensee,0,0,0,2,0,0
motivated,0,0,0,1,1,0
arass,0,0,0,3,0,0
copd,0,0,0,1,0,0
scoop,0,0,0,1,0,0
wafd,0,0,0,2,0,0
attributable,0,0,0,1,0,1
vom,0,0,0,1,0,0
setarus,0,0,0,2,0,0
bureauso,0,0,0,1,0,0
cerdit,0,0,0,1,0,0
alli,0,0,0,1,0,0
coverte,0,0,0,1,0,0
themself,0,0,0,1,1,0
semantic,0,0,0,1,0,0
whammy,0,0,0,1,0,0
thriving,0,0,0,1,0,0
ecomony,0,0,0,1,0,0
muck,0,0,0,1,0,0
nth,0,0,0,1,0,0
xxxxchasexxxx,0,0,0,1,0,0
xxxxjust,0,0,0,1,0,0
antagonistic,0,0,0,1,0,0
americaxxxxxxxx,0,0,0,1,0,0
madamei,0,0,0,1,0,0
ceobank,0,0,0,1,0,0
americaxxxx,0,0,0,1,0,0
yoyo,0,0,0,1,0,0
sherrifs,0,0,0,2,0,0
repetition,0,0,0,1,1,0
pi,0,0,0,1,0,0
agressively,0,0,0,1,0,0
inidcate,0,0,0,1,0,0
std,0,0,0,1,0,0
empathize,0,0,0,1,0,0
elementary,0,0,0,1,0,2
substantiation,0,0,0,1,0,3
teleconference,0,0,0,1,1,0
medaition,0,0,0,1,0,0
estange,0,0,0,1,0,0
iver,0,0,0,1,0,0
dof,0,0,0,1,0,0
intramural,0,0,0,1,0,0
disbursal,0,0,0,1,0,0
italic,0,0,0,1,0,0
drawing,0,0,0,1,0,0
onslaught,0,0,0,1,0,0
documents,0,0,0,1,0,0
copies,0,0,0,1,0,0
redate,0,0,0,1,0,0
remaile,0,0,0,1,0,0
saturate,0,0,0,1,0,0
allen,0,0,0,17,1,0
tate,0,0,0,17,2,0
brg,0,0,0,1,0,0
concerni,0,0,0,1,0,0
collectable,0,0,0,2,4,0
stateside,0,0,0,1,0,0
imaging,0,0,0,1,3,0
horse,0,0,0,1,0,0
delinquencyand,0,0,0,1,0,0
forwarded,0,0,0,1,0,0
arguably,0,0,0,1,0,0
nondiscrimination,0,0,0,1,0,0
barter,0,0,0,1,1,0
insanity,0,0,0,1,0,0
mirth,0,0,0,1,0,0
saw,0,0,0,1,1,0
whelther,0,0,0,1,0,0
wk,0,0,0,1,1,0
landscaping,0,0,0,1,0,0
gazebo,0,0,0,1,0,0
reguarde,0,0,0,1,1,4
documentsi,0,0,0,1,0,0
dmyslef,0,0,0,1,0,0
pormise,0,0,0,1,0,1
dn,0,0,0,1,0,0
everythign,0,0,0,1,0,0
camp,0,0,0,1,0,0
surreal,0,0,0,1,0,0
thug,0,0,0,1,2,0
businessman,0,0,0,1,0,0
resourceful,0,0,0,1,0,0
foresnic,0,0,0,1,0,0
nev,0,0,0,1,0,0
hallmark,0,0,0,4,0,0
billable,0,0,0,1,0,0
misdemeanor,0,0,0,1,1,4
guidline,0,0,0,1,1,0
stre,0,0,0,1,0,0
equitably,0,0,0,1,0,0
xxxxgreentree,0,0,0,1,0,0
isolate,0,0,0,1,0,0
sirsus,0,0,0,1,0,0
numberxxxx,0,0,0,1,1,1
itwe,0,0,0,1,0,0
vehiclesin,0,0,0,1,0,0
waitingwe,0,0,0,1,0,0
saleso,0,0,0,1,0,0
creditso,0,0,0,1,0,0
caution,0,0,0,1,0,1
thisput,0,0,0,1,0,0
unearned,0,0,0,3,0,0
invome,0,0,0,1,0,0
slowdown,0,0,0,1,0,0
geat,0,0,0,1,0,0
forbarence,0,0,0,1,0,0
eff,0,0,0,1,0,2
thaf,0,0,0,1,0,0
foebarence,0,0,0,2,0,0
faxx,0,0,0,1,0,0
economics,0,0,0,1,0,0
practicedebt,0,0,0,1,0,0
actthe,0,0,0,1,0,0
rulebreach,0,0,0,1,0,0
contractif,0,0,0,1,0,0
countrywde,0,0,0,1,0,0
stint,0,0,0,1,0,0
dreadful,0,0,0,1,0,0
decission,0,0,0,1,0,0
couldcould,0,0,0,1,0,0
occrue,0,0,0,1,0,0
posibly,0,0,0,1,0,0
ihad,0,0,0,1,0,0
hobr,0,0,0,1,0,0
fms,0,0,0,0,9,1
confrime,0,0,0,0,1,0
procurement,0,0,0,0,1,4
obligator,0,0,0,0,1,0
someday,0,0,0,0,2,0
nco,0,0,0,0,3,0
kirkland,0,0,0,0,4,0
dint,0,0,0,0,2,1
eos,0,0,0,0,26,0
persona,0,0,0,0,1,0
oder,0,0,0,0,1,0
americafile,0,0,0,0,1,0
clientwe,0,0,0,0,1,0
emaila,0,0,0,0,1,0
thatyour,0,0,0,0,1,0
fcb,0,0,0,0,1,0
capstone,0,0,0,0,1,0
unvalidated,0,0,0,0,3,1
robotic,0,0,0,0,6,0
wy,0,0,0,0,1,0
gash,0,0,0,0,1,0
amarica,0,0,0,0,1,0
bx,0,0,0,0,1,0
econc,0,0,0,0,1,0
guglielmo,0,0,0,0,2,0
foul,0,0,0,0,4,0
shout,0,0,0,0,4,0
collected,0,0,0,0,1,0
analytic,0,0,0,0,1,1
inscribe,0,0,0,0,1,0
aforethought,0,0,0,0,1,0
premeditate,0,0,0,0,1,0
conspiratorial,0,0,0,0,1,0
monterrey,0,0,0,0,1,0
astra,0,0,0,0,34,0
typed,0,0,0,0,1,0
desit,0,0,0,0,1,0
xxxxcall,0,0,0,0,2,0
mindalnd,0,0,0,0,1,0
immidietly,0,0,0,0,1,0
docummente,0,0,0,0,1,0
fredrick,0,0,0,0,2,0
hanna,0,0,0,0,11,0
sleazebag,0,0,0,0,1,0
hangup,0,0,0,0,2,0
portfrecovery,0,0,0,0,1,0
hippa,0,0,0,0,22,1
xxxxcontinental,0,0,0,0,1,0
seperately,0,0,0,0,1,0
acoount,0,0,0,0,1,0
paymet,0,0,0,0,1,0
reasonalbe,0,0,0,0,1,0
concumer,0,0,0,0,1,0
othe,0,0,0,0,1,0
accumualte,0,0,0,0,1,0
attemtpt,0,0,0,0,1,0
phoe,0,0,0,0,1,0
distract,0,0,0,0,3,0
insistingly,0,0,0,0,1,0
denounce,0,0,0,0,1,0
roundly,0,0,0,0,1,0
ledgers,0,0,0,0,2,0
gc,0,0,0,0,20,0
ladys,0,0,0,0,1,0
men,0,0,0,0,1,0
pohone,0,0,0,0,1,0
proceeder,0,0,0,0,1,0
ebt,0,0,0,0,2,0
ceritified,0,0,0,0,1,0
woefully,0,0,0,0,1,0
unbeknowst,0,0,0,0,1,0
horrifying,0,0,0,0,1,0
incarseration,0,0,0,0,1,0
nair,0,0,0,0,1,0
levine,0,0,0,0,1,0
exhorbitant,0,0,0,0,1,0
mispresente,0,0,0,0,1,0
publically,0,0,0,0,1,0
setforth,0,0,0,0,1,0
hospitial,0,0,0,0,1,0
apex,0,0,0,0,9,0
licensure,0,0,0,0,1,0
profane,0,0,0,0,2,1
miranda,0,0,0,0,25,0
cba,0,0,0,0,6,2
cooler,0,0,0,0,1,0
representer,0,0,0,0,1,0
hunter,0,0,0,0,41,0
warfield,0,0,0,0,39,0
dupilicate,0,0,0,0,1,0
agenie,0,0,0,0,2,0
companies,0,0,0,0,1,0
corporationinstant,0,0,0,0,1,0
xxxxe,0,0,0,0,2,0
incxxxx,0,0,0,0,3,0
linenote,0,0,0,0,1,0
messagefunde,0,0,0,0,1,0
xxxxlocation,0,0,0,0,1,0
informationrequ,0,0,0,0,1,0
owednever,0,0,0,0,1,0
xxxxdebt,0,0,0,0,3,0
monthterm,0,0,0,0,2,0
monthsrequest,0,0,0,0,1,0
informationxx,0,0,0,0,1,0
addressdown,0,0,0,0,1,0
frontemployer,0,0,0,0,1,0
xxxxconfirmation,0,0,0,0,2,0
xxxxdirect,0,0,0,0,2,0
xxxxcontact,0,0,0,0,1,0
monthsxx,0,0,0,0,1,0
xxxxrepresentative,0,0,0,0,1,0
lendingloan,0,0,0,0,1,0
monthrefundable,0,0,0,0,1,0
frontxx,0,0,0,0,1,0
xxxxreporte,0,0,0,0,2,0
xxxxunknown,0,0,0,0,1,0
privatefri,0,0,0,0,1,0
xxxxeloan,0,0,0,0,1,0
facilityyou,0,0,0,0,1,0
accountsif,0,0,0,0,1,0
incunite,0,0,0,0,1,0
rpt,0,0,0,0,1,0
phoenix,0,0,0,0,8,2
deb,0,0,0,0,3,1
dir,0,0,0,0,1,0
opereration,0,0,0,0,1,0
arnold,0,0,0,0,3,0
scott,0,0,0,0,12,0
mgmt,0,0,0,0,1,0
cmrrr,0,0,0,0,1,0
statei,0,0,0,0,1,0
confine,0,0,0,0,2,0
xxxxphone,0,0,0,0,3,1
reportplease,0,0,0,0,2,0
requestthank,0,0,0,0,2,0
specifiaclly,0,0,0,0,1,0
convergent,0,0,0,0,34,0
waaayyyy,0,0,0,0,1,0
machol,0,0,0,0,7,0
johanne,0,0,0,0,7,0
trujillo,0,0,0,0,1,0
comlaint,0,0,0,0,1,0
monthe,0,0,0,0,1,0
acard,0,0,0,0,1,0
acar,0,0,0,0,1,0
sneeky,0,0,0,0,1,0
eith,0,0,0,0,1,0
thenthe,0,0,0,0,1,0
sommon,0,0,0,0,1,0
yime,0,0,0,0,1,0
tocontact,0,0,0,0,2,0
attemtpe,0,0,0,0,1,0
vericication,0,0,0,0,1,0
speciffically,0,0,0,0,1,0
removalxxxx,0,0,0,0,1,0
ncs,0,0,0,0,2,1
reliant,0,0,0,0,6,0
solider,0,0,0,0,1,0
pleanty,0,0,0,0,1,0
inncorrecte,0,0,0,0,1,0
fam,0,0,0,0,11,0
flagrantly,0,0,0,0,3,0
comapny,0,0,0,0,2,3
millennium,0,0,0,0,7,0
lab,0,0,0,0,9,1
waassociate,0,0,0,0,3,0
cb,0,0,0,0,4,7
scs,0,0,0,0,1,0
bis,0,0,0,0,1,0
northeast,0,0,0,0,4,1
copay,0,0,0,0,6,3
transworld,0,0,0,0,57,3
heighten,0,0,0,0,1,0
uflp,0,0,0,0,1,0
webform,0,0,0,0,1,0
mobiloan,0,0,0,0,1,1
psychology,0,0,0,0,1,0
blitt,0,0,0,0,4,0
informaine,0,0,0,0,1,0
calla,0,0,0,0,1,0
wrk,0,0,0,0,1,0
verififie,0,0,0,0,1,0
reel,0,0,0,0,1,1
diversify,0,0,0,0,21,0
karma,0,0,0,0,6,16
mitchell,0,0,0,0,2,0
bluhm,0,0,0,0,1,0
iq,0,0,0,0,13,0
realty,0,0,0,0,3,0
immature,0,0,0,0,1,0
kinum,0,0,0,0,2,0
they,0,0,0,0,1,0
halste,0,0,0,0,2,0
indundate,0,0,0,0,1,0
thaht,0,0,0,0,2,0
allegadelly,0,0,0,0,1,0
verfication,0,0,0,0,2,0
calime,0,0,0,0,1,0
rigth,0,0,0,0,1,0
annswer,0,0,0,0,1,0
deliverable,0,0,0,0,1,3
afni,0,0,0,0,87,2
collections,0,0,0,0,5,0
unproven,0,0,0,0,1,0
showroom,0,0,0,0,1,0
coperate,0,0,0,0,1,0
bronstein,0,0,0,0,1,0
weiss,0,0,0,0,1,0
accountbof,0,0,0,0,1,0
samemonth,0,0,0,0,1,0
xxxxbof,0,0,0,0,1,0
actplease,0,0,0,0,1,0
recoveryxxxxxxxx,0,0,0,0,1,0
interrogatory,0,0,0,0,5,0
mocking,0,0,0,0,1,0
snd,0,0,0,0,1,1
northland,0,0,0,0,6,0
fagstar,0,0,0,0,1,0
callers,0,0,0,0,3,0
pip,0,0,0,0,1,0
ara,0,0,0,0,7,0
detention,0,0,0,0,2,0
xxxxafni,0,0,0,0,1,0
tourncredit,0,0,0,0,1,0
pressler,0,0,0,0,34,0
plusfour,0,0,0,0,5,0
figured,0,0,0,0,2,0
landmark,0,0,0,0,1,0
cogent,0,0,0,0,1,0
splitting,0,0,0,0,1,0
registrant,0,0,0,0,1,0
prospectus,0,0,0,0,1,1
collective,0,0,0,0,1,0
aargon,0,0,0,0,8,1
hipaa,0,0,0,0,30,3
garn,0,0,0,0,1,0
squeaky,0,0,0,0,1,0
cmre,0,0,0,0,12,0
ifhey,0,0,0,0,1,0
modem,0,0,0,0,18,4
hookup,0,0,0,0,1,0
hdmi,0,0,0,0,1,0
nsfs,0,0,0,0,1,0
argon,0,0,0,0,1,0
phd,0,0,0,0,1,0
reread,0,0,0,0,1,1
roach,0,0,0,0,4,0
blury,0,0,0,0,1,0
blurry,0,0,0,0,1,1
arra,0,0,0,0,1,0
phr,0,0,0,0,1,0
clinical,0,0,0,0,1,0
hitech,0,0,0,0,1,0
taping,0,0,0,0,1,0
ocr,0,0,0,0,1,0
ncc,0,0,0,0,10,0
fate,0,0,0,0,1,1
aparment,0,0,0,0,2,0
dispoite,0,0,0,0,1,0
conscta,0,0,0,0,1,0
assail,0,0,0,0,1,0
kirland,0,0,0,0,3,0
untraceable,0,0,0,0,2,0
subtantively,0,0,0,0,1,0
paragon,0,0,0,0,10,0
abnormal,0,0,0,0,1,0
trident,0,0,0,0,14,0
cosigned,0,0,0,0,1,1
knife,0,0,0,0,2,0
dismantle,0,0,0,0,2,0
ofr,0,0,0,0,1,0
wouldn,0,0,0,0,1,0
extenuation,0,0,0,0,1,0
mccarthy,0,0,0,0,7,0
holthus,0,0,0,0,1,0
direc,0,0,0,0,1,0
tly,0,0,0,0,1,0
holthu,0,0,0,0,4,0
sect,0,0,0,0,1,1
ion,0,0,0,0,1,1
obligee,0,0,0,0,1,2
expedited,0,0,0,0,1,0
gown,0,0,0,0,1,0
palisade,0,0,0,0,4,0
palisades,0,0,0,0,1,0
shareholder,0,0,0,0,1,1
companyafni,0,0,0,0,1,0
natioanl,0,0,0,0,1,0
uniformed,0,0,0,0,1,0
abundant,0,0,0,0,1,1
instrumentality,0,0,0,0,1,0
intrastate,0,0,0,0,1,0
competitively,0,0,0,0,1,0
disadvantaged,0,0,0,0,1,0
jh,0,0,0,0,7,0
itemitzation,0,0,0,0,1,0
communcation,0,0,0,0,1,0
recurrently,0,0,0,0,1,0
limition,0,0,0,0,1,0
jepordize,0,0,0,0,1,1
unknownst,0,0,0,0,1,0
speaking,0,0,0,0,1,0
flo,0,0,0,0,1,0
rida,0,0,0,0,1,0
abc,0,0,0,0,10,0
conumser,0,0,0,0,1,0
kept,0,0,0,0,1,0
performant,0,0,0,0,8,0
wadge,0,0,0,0,2,0
portability,0,0,0,0,8,0
tsi,0,0,0,0,9,0
lawyerwe,0,0,0,0,1,0
vision,0,0,0,0,2,0
northwind,0,0,0,0,2,0
commuter,0,0,0,0,1,0
resources,0,0,0,0,8,0
accural,0,0,0,0,1,0
oustande,0,0,0,0,1,0
doung,0,0,0,0,1,0
dummy,0,0,0,0,1,0
limosouine,0,0,0,0,1,0
contate,0,0,0,0,2,0
plae,0,0,0,0,1,0
emplyman,0,0,0,0,1,0
similarity,0,0,0,0,1,2
holloway,0,0,0,0,6,0
xxxxandetitle,0,0,0,0,3,0
agencyin,0,0,0,0,3,0
docx,0,0,0,0,1,1
eastbrook,0,0,0,0,1,0
tsc,0,0,0,0,7,0
indirectly,0,0,0,0,4,3
magistrate,0,0,0,0,3,2
frist,0,0,0,0,1,0
facea,0,0,0,0,1,0
aver,0,0,0,0,1,0
misdiagnosis,0,0,0,0,1,0
attornie,0,0,0,0,1,0
midwst,0,0,0,0,2,0
rcvry,0,0,0,0,2,0
reappie,0,0,0,0,1,0
ambulance,0,0,0,0,16,4
roop,0,0,0,0,1,0
transwold,0,0,0,0,1,0
sacor,0,0,0,0,1,0
dsl,0,0,0,0,5,0
broadband,0,0,0,0,3,0
kidding,0,0,0,0,1,0
solutionsllc,0,0,0,0,4,0
cerise,0,0,0,0,1,0
uscb,0,0,0,0,4,0
searchable,0,0,0,0,1,0
reorting,0,0,0,0,1,0
allied,0,0,0,0,6,0
unwile,0,0,0,0,1,0
accs,0,0,0,0,3,0
oliphant,0,0,0,0,1,0
pretaining,0,0,0,0,1,0
evanton,0,0,0,0,1,0
involuntary,0,0,0,0,6,1
lettler,0,0,0,0,1,0
xxxxxxxxn,0,0,0,0,1,0
faculty,0,0,0,0,2,1
cib,0,0,0,0,2,0
neve,0,0,0,0,1,0
originall,0,0,0,0,1,0
colaborate,0,0,0,0,1,0
doorstep,0,0,0,0,1,0
tatic,0,0,0,0,2,0
conformance,0,0,0,0,2,0
aspen,0,0,0,0,2,0
backfire,0,0,0,0,1,0
amcol,0,0,0,0,7,0
hrrg,0,0,0,0,13,0
flhrrg,0,0,0,0,1,0
hospitalxxxx,0,0,0,0,1,0
xxxxwhat,0,0,0,0,1,0
acm,0,0,0,0,1,0
assurd,0,0,0,0,1,0
toady,0,0,0,0,1,0
lotane,0,0,0,0,8,0
nulle,0,0,0,0,1,0
clams,0,0,0,0,1,0
offence,0,0,0,0,1,0
nonjudicial,0,0,0,0,1,0
dispossession,0,0,0,0,2,0
disablement,0,0,0,0,2,0
balcony,0,0,0,0,1,0
enforcememt,0,0,0,0,1,0
haft,0,0,0,0,1,0
resurgent,0,0,0,0,10,0
servive,0,0,0,0,1,0
fco,0,0,0,0,12,0
wetsch,0,0,0,0,1,0
abbott,0,0,0,0,1,0
osborn,0,0,0,0,1,0
handler,0,0,0,0,1,0
winn,0,0,0,0,3,0
xxxxlvnv,0,0,0,0,1,0
fundingxxxx,0,0,0,0,1,0
unsucessfuly,0,0,0,0,1,0
mitchel,0,0,0,0,1,0
rubinstein,0,0,0,0,1,0
subscriber,0,0,0,0,2,4
caine,0,0,0,0,12,0
weiner,0,0,0,0,14,0
xxxxconsent,0,0,0,0,2,0
implicate,0,0,0,0,2,0
nw,0,0,0,0,1,0
encore,0,0,0,0,4,0
inflamitory,0,0,0,0,1,0
immedietly,0,0,0,0,1,0
stepfather,0,0,0,0,2,0
isunfair,0,0,0,0,1,0
sneak,0,0,0,0,3,0
hearsay,0,0,0,0,3,1
accecpte,0,0,0,0,1,0
ast,0,0,0,0,1,0
ye,0,0,0,0,1,0
terminally,0,0,0,0,4,0
alr,0,0,0,0,1,0
eady,0,0,0,0,1,0
americollect,0,0,0,0,9,0
fncb,0,0,0,0,2,0
trespassing,0,0,0,0,1,1
culpable,0,0,0,0,1,0
bulling,0,0,0,0,1,0
sytem,0,0,0,0,1,0
dnf,0,0,0,0,3,0
cach,0,0,0,0,10,0
impala,0,0,0,0,2,0
lessor,0,0,0,0,4,0
collecion,0,0,0,0,1,0
selve,0,0,0,0,1,0
atg,0,0,0,0,14,0
calld,0,0,0,0,1,0
robinson,0,0,0,0,1,0
reagan,0,0,0,0,1,0
lpsg,0,0,0,0,2,0
collegiate,0,0,0,0,4,0
nct,0,0,0,0,6,0
aes,0,0,0,0,10,0
dischargeable,0,0,0,0,1,0
privatized,0,0,0,0,1,0
domicile,0,0,0,0,2,0
unlinked,0,0,0,0,1,0
broward,0,0,0,0,1,0
messerli,0,0,0,0,13,0
kramer,0,0,0,0,16,0
coul,0,0,0,0,1,0
bleier,0,0,0,0,1,0
cox,0,0,0,0,2,0
apc,0,0,0,0,1,0
jefferson,0,0,0,0,10,0
diversified,0,0,0,0,33,3
plethora,0,0,0,0,4,3
grammatical,0,0,0,0,2,0
numerical,0,0,0,0,1,0
purcashe,0,0,0,0,1,0
accordnace,0,0,0,0,1,0
tribe,0,0,0,0,1,0
leonard,0,0,0,0,1,0
colletor,0,0,0,0,1,0
collet,0,0,0,0,2,0
colloctor,0,0,0,0,1,0
syndicate,0,0,0,0,11,1
systemst,0,0,0,0,1,0
trueaccord,0,0,0,0,3,0
pdq,0,0,0,0,5,0
senex,0,0,0,0,4,0
condtion,0,0,0,0,1,0
proecdure,0,0,0,0,1,0
stillman,0,0,0,0,4,0
xxxxthrough,0,0,0,0,1,0
alexandride,0,0,0,0,2,0
commingle,0,0,0,0,1,0
professor,0,0,0,0,1,0
hair,0,0,0,0,2,0
dean,0,0,0,0,1,0
desert,0,0,0,0,1,0
reapeadly,0,0,0,0,1,0
clx,0,0,0,0,4,0
westwood,0,0,0,0,2,0
cheveron,0,0,0,0,1,0
sunrise,0,0,0,0,8,0
ttl,0,0,0,0,1,0
fuzzy,0,0,0,0,1,0
amounnt,0,0,0,0,1,0
ftom,0,0,0,0,1,0
harvard,0,0,0,0,1,0
overshadow,0,0,0,0,1,0
miller,0,0,0,0,3,0
klein,0,0,0,0,9,0
geezzzz,0,0,0,0,1,0
saffff,0,0,0,0,1,0
signage,0,0,0,0,1,1
freestande,0,0,0,0,1,0
eob,0,0,0,0,8,0
arnett,0,0,0,0,1,0
arnet,0,0,0,0,2,0
gla,0,0,0,0,9,0
berk,0,0,0,0,1,1
fudne,0,0,0,0,1,0
reassert,0,0,0,0,1,0
anemic,0,0,0,0,1,0
amsher,0,0,0,0,23,3
recalcitrant,0,0,0,0,1,0
attemptsxxxx,0,0,0,0,1,0
solomon,0,0,0,0,6,0
repute,0,0,0,0,1,0
penn,0,0,0,0,7,0
frederick,0,0,0,0,6,0
unintelligent,0,0,0,0,1,0
reinsertion,0,0,0,0,7,15
desicion,0,0,0,0,1,0
nessacery,0,0,0,0,1,0
feldman,0,0,0,0,1,0
cuse,0,0,0,0,1,0
zwicker,0,0,0,0,5,0
actionto,0,0,0,0,1,0
dictionary,0,0,0,0,1,2
tolling,0,0,0,0,2,0
discontinuance,0,0,0,0,1,0
threatend,0,0,0,0,2,0
wareant,0,0,0,0,1,0
fitness,0,0,0,0,2,0
cord,0,0,0,0,1,0
requisition,0,0,0,0,3,0
tiring,0,0,0,0,2,1
sanitary,0,0,0,0,1,0
hwarfield,0,0,0,0,1,0
condultant,0,0,0,0,1,0
dogmatic,0,0,0,0,1,0
mastectomy,0,0,0,0,1,0
unowed,0,0,0,0,1,0
hoffman,0,0,0,0,7,0
squander,0,0,0,0,1,0
anounce,0,0,0,0,1,0
avon,0,0,0,0,2,0
unactive,0,0,0,0,1,0
adresss,0,0,0,0,1,0
odvious,0,0,0,0,1,0
compatible,0,0,0,0,2,0
evidentally,0,0,0,0,1,0
bca,0,0,0,0,3,0
evenly,0,0,0,0,1,0
phoneix,0,0,0,0,1,0
protcal,0,0,0,0,1,0
priceline,0,0,0,0,1,0
conm,0,0,0,0,1,0
regually,0,0,0,0,1,0
